date,Name,price,weight,Family
2019-01-02,Asset1,231.5061,0.225457962039468,Fixed Income
2019-01-03,Asset1,231.0356,0.225457962039468,Fixed Income
2019-01-04,Asset1,230.4026,0.225457962039468,Fixed Income
2019-01-07,Asset1,230.0543,0.225457962039468,Fixed Income
2019-01-08,Asset1,229.7012,0.225457962039468,Fixed Income
2019-01-09,Asset1,230.155,0.225457962039468,Fixed Income
2019-01-10,Asset1,230.4994,0.225457962039468,Fixed Income
2019-01-11,Asset1,230.8193,0.225457962039468,Fixed Income
2019-01-14,Asset1,231.0823,0.225457962039468,Fixed Income
2019-01-15,Asset1,231.3187,0.225457962039468,Fixed Income
2019-01-16,Asset1,231.4834,0.225457962039468,Fixed Income
2019-01-17,Asset1,231.4778,0.225457962039468,Fixed Income
2019-01-18,Asset1,231.4533,0.225457962039468,Fixed Income
2019-01-21,Asset1,231.3291,0.225457962039468,Fixed Income
2019-01-22,Asset1,231.6117,0.225457962039468,Fixed Income
2019-01-23,Asset1,231.7206,0.225457962039468,Fixed Income
2019-01-24,Asset1,232.786,0.225457962039468,Fixed Income
2019-01-25,Asset1,232.8402,0.225457962039468,Fixed Income
2019-01-28,Asset1,232.6644,0.225457962039468,Fixed Income
2019-01-29,Asset1,232.6579,0.225457962039468,Fixed Income
2019-01-30,Asset1,232.8493,0.225457962039468,Fixed Income
2019-01-31,Asset1,233.3566,0.225457962039468,Fixed Income
2019-02-01,Asset1,232.5707,0.225457962039468,Fixed Income
2019-02-04,Asset1,232.4786,0.225457962039468,Fixed Income
2019-02-05,Asset1,232.3439,0.225457962039468,Fixed Income
2019-02-06,Asset1,232.1823,0.225457962039468,Fixed Income
2019-02-07,Asset1,232.1859,0.225457962039468,Fixed Income
2019-02-08,Asset1,232.2148,0.225457962039468,Fixed Income
2019-02-11,Asset1,232.1751,0.225457962039468,Fixed Income
2019-02-12,Asset1,232.2308,0.225457962039468,Fixed Income
2019-02-13,Asset1,232.5939,0.225457962039468,Fixed Income
2019-02-14,Asset1,232.7362,0.225457962039468,Fixed Income
2019-02-15,Asset1,232.754,0.225457962039468,Fixed Income
2019-02-18,Asset1,232.7746,0.225457962039468,Fixed Income
2019-02-19,Asset1,232.8894,0.225457962039468,Fixed Income
2019-02-20,Asset1,232.7082,0.225457962039468,Fixed Income
2019-02-21,Asset1,232.5826,0.225457962039468,Fixed Income
2019-02-22,Asset1,232.8227,0.225457962039468,Fixed Income
2019-02-25,Asset1,233.0297,0.225457962039468,Fixed Income
2019-02-26,Asset1,233.2063,0.225457962039468,Fixed Income
2019-02-27,Asset1,232.5685,0.225457962039468,Fixed Income
2019-02-28,Asset1,232.3292,0.225457962039468,Fixed Income
2019-03-01,Asset1,232.2761,0.225457962039468,Fixed Income
2019-03-04,Asset1,232.6784,0.225457962039468,Fixed Income
2019-03-05,Asset1,232.7193,0.225457962039468,Fixed Income
2019-03-06,Asset1,233.4892,0.225457962039468,Fixed Income
2019-03-07,Asset1,234.7471,0.225457962039468,Fixed Income
2019-03-08,Asset1,234.7106,0.225457962039468,Fixed Income
2019-03-11,Asset1,234.4723,0.225457962039468,Fixed Income
2019-03-12,Asset1,234.435,0.225457962039468,Fixed Income
2019-03-13,Asset1,234.3044,0.225457962039468,Fixed Income
2019-03-14,Asset1,234.47,0.225457962039468,Fixed Income
2019-03-15,Asset1,234.555,0.225457962039468,Fixed Income
2019-03-18,Asset1,234.995,0.225457962039468,Fixed Income
2019-03-19,Asset1,234.59,0.225457962039468,Fixed Income
2019-03-20,Asset1,234.655,0.225457962039468,Fixed Income
2019-03-21,Asset1,235.6211,0.225457962039468,Fixed Income
2019-03-22,Asset1,235.75,0.225457962039468,Fixed Income
2019-03-25,Asset1,236.2305,0.225457962039468,Fixed Income
2019-03-26,Asset1,236.3364,0.225457962039468,Fixed Income
2019-03-27,Asset1,237.18,0.225457962039468,Fixed Income
2019-03-28,Asset1,236.7785,0.225457962039468,Fixed Income
2019-03-29,Asset1,236.65,0.225457962039468,Fixed Income
2019-04-01,Asset1,235.8753,0.225457962039468,Fixed Income
2019-04-02,Asset1,236.1217,0.225457962039468,Fixed Income
2019-04-03,Asset1,235.5119,0.225457962039468,Fixed Income
2019-04-04,Asset1,235.8886,0.225457962039468,Fixed Income
2019-04-05,Asset1,236.0778,0.225457962039468,Fixed Income
2019-04-08,Asset1,236.1516,0.225457962039468,Fixed Income
2019-04-09,Asset1,236.4443,0.225457962039468,Fixed Income
2019-04-10,Asset1,236.8477,0.225457962039468,Fixed Income
2019-04-11,Asset1,236.8635,0.225457962039468,Fixed Income
2019-04-12,Asset1,236.0503,0.225457962039468,Fixed Income
2019-04-15,Asset1,235.6151,0.225457962039468,Fixed Income
2019-04-16,Asset1,235.484,0.225457962039468,Fixed Income
2019-04-17,Asset1,235.3109,0.225457962039468,Fixed Income
2019-04-18,Asset1,236.0125,0.225457962039468,Fixed Income
2019-04-19,Asset1,236.0125,0.225457962039468,Fixed Income
2019-04-22,Asset1,236.0125,0.225457962039468,Fixed Income
2019-04-23,Asset1,235.3953,0.225457962039468,Fixed Income
2019-04-24,Asset1,236.2293,0.225457962039468,Fixed Income
2019-04-25,Asset1,235.7831,0.225457962039468,Fixed Income
2019-04-26,Asset1,236.5869,0.225457962039468,Fixed Income
2019-04-29,Asset1,236.4154,0.225457962039468,Fixed Income
2019-04-30,Asset1,236.5748,0.225457962039468,Fixed Income
2019-05-01,Asset1,236.5748,0.225457962039468,Fixed Income
2019-05-02,Asset1,236.46,0.225457962039468,Fixed Income
2019-05-03,Asset1,236.7102,0.225457962039468,Fixed Income
2019-05-06,Asset1,236.6797,0.225457962039468,Fixed Income
2019-05-07,Asset1,236.9445,0.225457962039468,Fixed Income
2019-05-08,Asset1,236.9893,0.225457962039468,Fixed Income
2019-05-09,Asset1,236.5494,0.225457962039468,Fixed Income
2019-05-10,Asset1,236.5653,0.225457962039468,Fixed Income
2019-05-13,Asset1,236.7456,0.225457962039468,Fixed Income
2019-05-14,Asset1,236.6358,0.225457962039468,Fixed Income
2019-05-15,Asset1,237.016,0.225457962039468,Fixed Income
2019-05-16,Asset1,237.2897,0.225457962039468,Fixed Income
2019-05-17,Asset1,237.5793,0.225457962039468,Fixed Income
2019-05-20,Asset1,237.1612,0.225457962039468,Fixed Income
2019-05-21,Asset1,237.0506,0.225457962039468,Fixed Income
2019-05-22,Asset1,237.3108,0.225457962039468,Fixed Income
2019-05-23,Asset1,237.636,0.225457962039468,Fixed Income
2019-05-24,Asset1,238.0201,0.225457962039468,Fixed Income
2019-05-27,Asset1,238.0456,0.225457962039468,Fixed Income
2019-05-28,Asset1,238.0531,0.225457962039468,Fixed Income
2019-05-29,Asset1,238.76,0.225457962039468,Fixed Income
2019-05-30,Asset1,238.5373,0.225457962039468,Fixed Income
2019-05-31,Asset1,239.0176,0.225457962039468,Fixed Income
2019-06-03,Asset1,239.5595,0.225457962039468,Fixed Income
2019-06-04,Asset1,240.0676,0.225457962039468,Fixed Income
2019-06-05,Asset1,240.4215,0.225457962039468,Fixed Income
2019-06-06,Asset1,240.9797,0.225457962039468,Fixed Income
2019-06-07,Asset1,242.21,0.225457962039468,Fixed Income
2019-06-10,Asset1,241.1928,0.225457962039468,Fixed Income
2019-06-11,Asset1,241.5922,0.225457962039468,Fixed Income
2019-06-12,Asset1,241.1797,0.225457962039468,Fixed Income
2019-06-13,Asset1,241.5356,0.225457962039468,Fixed Income
2019-06-14,Asset1,242.2023,0.225457962039468,Fixed Income
2019-06-17,Asset1,242.0498,0.225457962039468,Fixed Income
2019-06-18,Asset1,244.1687,0.225457962039468,Fixed Income
2019-06-19,Asset1,243.6748,0.225457962039468,Fixed Income
2019-06-20,Asset1,244.3136,0.225457962039468,Fixed Income
2019-06-21,Asset1,243.5596,0.225457962039468,Fixed Income
2019-06-24,Asset1,244.0092,0.225457962039468,Fixed Income
2019-06-25,Asset1,244.4071,0.225457962039468,Fixed Income
2019-06-26,Asset1,244.1894,0.225457962039468,Fixed Income
2019-06-27,Asset1,244.397,0.225457962039468,Fixed Income
2019-06-28,Asset1,244.573,0.225457962039468,Fixed Income
2019-07-01,Asset1,245.6481,0.225457962039468,Fixed Income
2019-07-02,Asset1,246.1012,0.225457962039468,Fixed Income
2019-07-03,Asset1,247.8861,0.225457962039468,Fixed Income
2019-07-04,Asset1,247.7571,0.225457962039468,Fixed Income
2019-07-05,Asset1,246.6901,0.225457962039468,Fixed Income
2019-07-08,Asset1,246.3324,0.225457962039468,Fixed Income
2019-07-09,Asset1,246.2267,0.225457962039468,Fixed Income
2019-07-10,Asset1,245.6264,0.225457962039468,Fixed Income
2019-07-11,Asset1,244.9347,0.225457962039468,Fixed Income
2019-07-12,Asset1,244.1134,0.225457962039468,Fixed Income
2019-07-15,Asset1,245.3618,0.225457962039468,Fixed Income
2019-07-16,Asset1,245.703,0.225457962039468,Fixed Income
2019-07-17,Asset1,246.3068,0.225457962039468,Fixed Income
2019-07-18,Asset1,246.8319,0.225457962039468,Fixed Income
2019-07-19,Asset1,246.8727,0.225457962039468,Fixed Income
2019-07-22,Asset1,246.7362,0.225457962039468,Fixed Income
2019-07-23,Asset1,247.0058,0.225457962039468,Fixed Income
2019-07-24,Asset1,247.8702,0.225457962039468,Fixed Income
2019-07-25,Asset1,247.4834,0.225457962039468,Fixed Income
2019-07-26,Asset1,247.4804,0.225457962039468,Fixed Income
